Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,"Days to 
Deliver","Delivery 
Company","Price per 
Unit",Units Sold,Total Sales,Operating Profit,Operating Margin
Walmart,1185732,4/11/2022,Northeast,New York,New York,Diet Coke,24,UPS,$0.50 ,"9,000","$4,500 ","$1,350 ",0.30
Walmart,1185732,4/11/2022,Northeast,New York,New York,Sprite,29,UPS,$0.40 ,"9,000","$3,600 ","$1,260 ",0.35
Walmart,1185732,4/11/2022,Northeast,New York,New York,Fanta,38,UPS,$0.45 ,"8,250","$3,713 ","$1,299 ",0.35
Walmart,1185732,4/11/2022,Northeast,New York,New York,Powerade,16,UPS,$0.60 ,"8,250","$4,950 ","$1,485 ",0.30
Walmart,1185732,4/11/2022,Northeast,New York,New York,Dasani Water,32,UPS,$0.50 ,"9,500","$4,750 ","$1,188 ",0.25
Walmart,1185732,5/10/2022,Northeast,New York,New York,Coca-Cola,18,UPS,$0.60 ,"12,200","$7,320 ","$3,660 ",0.50
Walmart,1185732,5/10/2022,Northeast,New York,New York,Diet Coke,39,UPS,$0.55 ,"9,250","$5,088 ","$1,526 ",0.30
Walmart,1185732,5/10/2022,Northeast,New York,New York,Sprite,16,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",0.35
Walmart,1185732,5/10/2022,Northeast,New York,New York,Fanta,22,UPS,$0.50 ,"8,500","$4,250 ","$1,488 ",0.35
Walmart,1185732,5/10/2022,Northeast,New York,New York,Powerade,24,UPS,$0.60 ,"8,750","$5,250 ","$1,575 ",0.30
Walmart,1185732,5/10/2022,Northeast,New York,New York,Dasani Water,20,UPS,$0.65 ,"10,000","$6,500 ","$1,625 ",0.25
Walmart,1185732,6/12/2022,Northeast,New York,New York,Coca-Cola,18,UPS,$0.60 ,"12,500","$7,500 ","$3,750 ",0.50
Walmart,1185732,6/12/2022,Northeast,New York,New York,Diet Coke,36,UPS,$0.55 ,"10,000","$5,500 ","$1,650 ",0.30
Walmart,1185732,6/12/2022,Northeast,New York,New York,Sprite,58,UPS,$0.50 ,"9,250","$4,625 ","$1,619 ",0.35
Walmart,1185732,6/12/2022,Northeast,New York,New York,Fanta,51,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",0.35
Walmart,1185732,6/12/2022,Northeast,New York,New York,Powerade,37,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",0.30
Walmart,1185732,6/12/2022,Northeast,New York,New York,Dasani Water,16,UPS,$0.65 ,"10,500","$6,825 ","$1,706 ",0.25
Walmart,1185732,7/10/2022,Northeast,New York,New York,Coca-Cola,44,UPS,$0.60 ,"12,750","$7,650 ","$3,825 ",0.50
Walmart,1185732,7/10/2022,Northeast,New York,New York,Diet Coke,32,UPS,$0.55 ,"10,250","$5,638 ","$1,691 ",0.30
Walmart,1185732,7/10/2022,Northeast,New York,New York,Sprite,43,UPS,$0.50 ,"9,500","$4,750 ","$1,663 ",0.35
Walmart,1185732,7/10/2022,Northeast,New York,New York,Fanta,25,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",0.35
Walmart,1185732,7/10/2022,Northeast,New York,New York,Powerade,55,UPS,$0.60 ,"9,250","$5,550 ","$1,665 ",0.30
Walmart,1185732,7/10/2022,Northeast,New York,New York,Dasani Water,19,UPS,$0.65 ,"11,000","$7,150 ","$1,788 ",0.25
Walmart,1185732,8/11/2022,Northeast,New York,New York,Coca-Cola,52,UPS,$0.60 ,"12,500","$7,500 ","$3,750 ",0.50
Walmart,1185732,8/11/2022,Northeast,New York,New York,Diet Coke,18,UPS,$0.55 ,"10,250","$5,638 ","$1,691 ",0.30
Walmart,1185732,8/11/2022,Northeast,New York,New York,Sprite,33,UPS,$0.50 ,"9,500","$4,750 ","$1,663 ",0.35
Walmart,1185732,8/11/2022,Northeast,New York,New York,Fanta,19,UPS,$0.50 ,"9,250","$4,625 ","$1,619 ",0.35
Walmart,1185732,8/11/2022,Northeast,New York,New York,Powerade,60,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",0.30
Walmart,1185732,8/11/2022,Northeast,New York,New York,Dasani Water,21,UPS,$0.65 ,"10,750","$6,988 ","$1,747 ",0.25
Walmart,1185732,9/10/2022,Northeast,New York,New York,Coca-Cola,15,UPS,$0.60 ,"12,000","$7,200 ","$3,600 ",0.50
Walmart,1185732,9/10/2022,Northeast,New York,New York,Diet Coke,35,UPS,$0.55 ,"10,000","$5,500 ","$1,650 ",0.30
Walmart,1185732,9/10/2022,Northeast,New York,New York,Sprite,48,UPS,$0.50 ,"9,250","$4,625 ","$1,619 ",0.35
Walmart,1185732,9/10/2022,Northeast,New York,New York,Fanta,24,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",0.35
Walmart,1185732,9/10/2022,Northeast,New York,New York,Powerade,55,UPS,$0.60 ,"9,000","$5,400 ","$1,620 ",0.30
Walmart,1185732,9/10/2022,Northeast,New York,New York,Dasani Water,17,UPS,$0.65 ,"10,000","$6,500 ","$1,625 ",0.25
Walmart,1185732,10/12/2022,Northeast,New York,New York,Coca-Cola,55,UPS,$0.65 ,"11,750","$7,638 ","$3,819 ",0.50
Walmart,1185732,10/12/2022,Northeast,New York,New York,Diet Coke,54,UPS,$0.55 ,"10,000","$5,500 ","$1,650 ",0.30
Walmart,1185732,10/12/2022,Northeast,New York,New York,Sprite,30,UPS,$0.55 ,"9,000","$4,950 ","$1,733 ",0.35
Walmart,1185732,10/12/2022,Northeast,New York,New York,Fanta,55,UPS,$0.55 ,"8,750","$4,813 ","$1,684 ",0.35
Walmart,1185732,10/12/2022,Northeast,New York,New York,Powerade,25,UPS,$0.65 ,"8,750","$5,688 ","$1,706 ",0.30
Walmart,1185732,10/12/2022,Northeast,New York,New York,Dasani Water,48,UPS,$0.70 ,"10,000","$7,000 ","$1,750 ",0.25
Walmart,1185732,11/11/2022,Northeast,New York,New York,Coca-Cola,25,UPS,$0.65 ,"11,500","$7,475 ","$3,738 ",0.50
Walmart,1185732,11/11/2022,Northeast,New York,New York,Diet Coke,44,UPS,$0.55 ,"9,750","$5,363 ","$1,609 ",0.30
Walmart,1185732,11/11/2022,Northeast,New York,New York,Sprite,35,UPS,$0.55 ,"9,200","$5,060 ","$1,771 ",0.35
Walmart,1185732,11/11/2022,Northeast,New York,New York,Fanta,27,UPS,$0.55 ,"9,000","$4,950 ","$1,733 ",0.35
Walmart,1185732,11/11/2022,Northeast,New York,New York,Powerade,17,UPS,$0.65 ,"8,750","$5,688 ","$1,706 ",0.30
Walmart,1185732,11/11/2022,Northeast,New York,New York,Dasani Water,19,UPS,$0.70 ,"9,750","$6,825 ","$1,706 ",0.25
Walmart,1185732,12/10/2022,Northeast,New York,New York,Coca-Cola,55,UPS,$0.65 ,"12,000","$7,800 ","$3,900 ",0.50
Walmart,1185732,12/10/2022,Northeast,New York,New York,Diet Coke,23,UPS,$0.55 ,"10,000","$5,500 ","$1,650 ",0.30
Walmart,1185732,12/10/2022,Northeast,New York,New York,Sprite,42,UPS,$0.55 ,"9,500","$5,225 ","$1,829 ",0.35
Walmart,1185732,12/10/2022,Northeast,New York,New York,Fanta,47,UPS,$0.55 ,"9,000","$4,950 ","$1,733 ",0.35
Walmart,1185732,12/10/2022,Northeast,New York,New York,Powerade,26,UPS,$0.65 ,"9,000","$5,850 ","$1,755 ",0.30
Walmart,1185732,12/10/2022,Northeast,New York,New York,Dasani Water,45,UPS,$0.70 ,"10,000","$7,000 ","$1,750 ",0.25
Costco,1197831,1/2/2022,South,Texas,Houston,Coca-Cola,30,UPS,$0.25 ,"9,000","$2,250 ",$788 ,0.35
Costco,1197831,1/2/2022,South,Texas,Houston,Diet Coke,28,UPS,$0.35 ,"9,000","$3,150 ","$1,103 ",0.35
Costco,1197831,1/2/2022,South,Texas,Houston,Sprite,16,UPS,$0.35 ,"7,000","$2,450 ",$858 ,0.35
Costco,1197831,1/2/2022,South,Texas,Houston,Fanta,38,UPS,$0.35 ,"7,000","$2,450 ","$1,103 ",0.45
Costco,1197831,1/2/2022,South,Texas,Houston,Powerade,42,UPS,$0.40 ,"5,500","$2,200 ",$660 ,0.30
Costco,1197831,1/2/2022,South,Texas,Houston,Dasani Water,19,UPS,$0.35 ,"7,000","$2,450 ","$1,225 ",0.50
Costco,1197831,2/1/2022,South,Texas,Houston,Coca-Cola,21,UPS,$0.25 ,"8,500","$2,125 ",$744 ,0.35
Costco,1197831,2/1/2022,South,Texas,Houston,Diet Coke,32,UPS,$0.35 ,"8,500","$2,975 ","$1,041 ",0.35
Costco,1197831,2/1/2022,South,Texas,Houston,Sprite,31,UPS,$0.35 ,"6,750","$2,363 ",$827 ,0.35
Costco,1197831,2/1/2022,South,Texas,Houston,Fanta,43,UPS,$0.35 ,"6,250","$2,188 ",$984 ,0.45
Costco,1197831,2/1/2022,South,Texas,Houston,Powerade,45,UPS,$0.40 ,"5,000","$2,000 ",$600 ,0.30
Costco,1197831,2/1/2022,South,Texas,Houston,Dasani Water,19,UPS,$0.35 ,"7,000","$2,450 ","$1,225 ",0.50
Costco,1197831,3/3/2022,South,Texas,Houston,Coca-Cola,29,UPS,$0.30 ,"8,750","$2,625 ",$919 ,0.35
Costco,1197831,3/3/2022,South,Texas,Houston,Diet Coke,50,UPS,$0.40 ,"8,750","$3,500 ","$1,225 ",0.35
Costco,1197831,3/3/2022,South,Texas,Houston,Sprite,32,UPS,$0.35 ,"7,000","$2,450 ",$858 ,0.35
Costco,1197831,3/3/2022,South,Texas,Houston,Fanta,32,UPS,$0.40 ,"6,000","$2,400 ","$1,080 ",0.45
Costco,1197831,3/3/2022,South,Texas,Houston,Powerade,50,UPS,$0.45 ,"5,000","$2,250 ",$675 ,0.30
Costco,1197831,3/3/2022,South,Texas,Houston,Dasani Water,19,UPS,$0.40 ,"6,500","$2,600 ","$1,300 ",0.50
Costco,1197831,4/2/2022,South,Texas,Houston,Coca-Cola,58,UPS,$0.30 ,"9,000","$2,700 ",$945 ,0.35
Costco,1197831,4/2/2022,South,Texas,Houston,Diet Coke,27,UPS,$0.40 ,"9,000","$3,600 ","$1,260 ",0.35
Costco,1197831,4/2/2022,South,Texas,Houston,Sprite,21,UPS,$0.35 ,"7,250","$2,538 ",$888 ,0.35
Costco,1197831,4/2/2022,South,Texas,Houston,Fanta,51,UPS,$0.40 ,"6,250","$2,500 ","$1,125 ",0.45
Costco,1197831,4/2/2022,South,Texas,Houston,Powerade,23,UPS,$0.45 ,"5,250","$2,363 ",$709 ,0.30
Costco,1197831,4/2/2022,South,Texas,Houston,Dasani Water,35,UPS,$0.40 ,"8,000","$3,200 ","$1,600 ",0.50
Costco,1197831,5/2/2022,South,Texas,Houston,Coca-Cola,22,UPS,$0.30 ,"9,250","$2,775 ",$971 ,0.35
Costco,1197831,5/2/2022,South,Texas,Houston,Diet Coke,42,UPS,$0.40 ,"9,250","$3,700 ","$1,295 ",0.35
Costco,1197831,5/2/2022,South,Texas,Houston,Sprite,24,UPS,$0.35 ,"7,750","$2,713 ",$949 ,0.35
Costco,1197831,5/2/2022,South,Texas,Houston,Fanta,47,UPS,$0.40 ,"7,000","$2,800 ","$1,260 ",0.45
Costco,1197831,5/2/2022,South,Texas,Houston,Powerade,32,UPS,$0.45 ,"6,000","$2,700 ",$810 ,0.30
Costco,1197831,5/2/2022,South,Texas,Houston,Dasani Water,53,UPS,$0.40 ,"9,500","$3,800 ","$1,900 ",0.50
Costco,1197831,6/1/2022,South,Texas,Houston,Coca-Cola,59,UPS,$0.40 ,"9,500","$3,800 ","$1,330 ",0.35
Costco,1197831,6/1/2022,South,Texas,Houston,Diet Coke,23,UPS,$0.45 ,"9,500","$4,275 ","$1,496 ",0.35
Costco,1197831,6/1/2022,South,Texas,Houston,Sprite,29,UPS,$0.40 ,"8,000","$3,200 ","$1,120 ",0.35
Costco,1197831,6/1/2022,South,Texas,Houston,Fanta,35,UPS,$0.40 ,"7,500","$3,000 ","$1,350 ",0.45
Costco,1197831,6/1/2022,South,Texas,Houston,Powerade,19,UPS,$0.45 ,"6,500","$2,925 ",$878 ,0.30
Costco,1197831,6/1/2022,South,Texas,Houston,Dasani Water,45,UPS,$0.50 ,"10,000","$5,000 ","$2,500 ",0.50
Costco,1197831,7/3/2022,South,Texas,Houston,Coca-Cola,18,UPS,$0.40 ,"9,500","$3,800 ","$1,330 ",0.35
Costco,1197831,7/3/2022,South,Texas,Houston,Diet Coke,37,UPS,$0.45 ,"9,500","$4,275 ","$1,496 ",0.35
Costco,1197831,7/3/2022,South,Texas,Houston,Sprite,45,UPS,$0.40 ,"11,000","$4,400 ","$1,540 ",0.35
Costco,1197831,7/3/2022,South,Texas,Houston,Fanta,19,UPS,$0.40 ,"7,000","$2,800 ","$1,260 ",0.45
Costco,1197831,7/3/2022,South,Texas,Houston,Powerade,54,UPS,$0.45 ,"7,000","$3,150 ",$945 ,0.30
Costco,1197831,7/3/2022,South,Texas,Houston,Dasani Water,30,UPS,$0.50 ,"9,750","$4,875 ","$2,438 ",0.50
Costco,1197831,8/5/2022,South,Texas,Houston,Coca-Cola,40,UPS,$0.40 ,"9,250","$3,700 ","$1,295 ",0.35
Costco,1197831,8/5/2022,South,Texas,Houston,Diet Coke,23,UPS,$0.45 ,"9,250","$4,163 ","$1,457 ",0.35
Costco,1197831,8/5/2022,South,Texas,Houston,Sprite,52,UPS,$0.40 ,"11,000","$4,400 ","$1,540 ",0.35
Costco,1197831,8/5/2022,South,Texas,Houston,Fanta,31,UPS,$0.40 ,"6,500","$2,600 ","$1,170 ",0.45
Costco,1197831,8/5/2022,South,Texas,Houston,Powerade,37,UPS,$0.45 ,"6,500","$2,925 ",$878 ,0.30
Costco,1197831,8/5/2022,South,Texas,Houston,Dasani Water,59,UPS,$0.50 ,"9,000","$4,500 ","$2,250 ",0.50
Costco,1197831,9/2/2022,South,Texas,Houston,Coca-Cola,53,UPS,$0.45 ,"8,500","$3,825 ","$1,339 ",0.35
Costco,1197831,9/2/2022,South,Texas,Houston,Diet Coke,58,UPS,$0.45 ,"8,500","$3,825 ","$1,339 ",0.35
Costco,1197831,9/2/2022,South,Texas,Houston,Sprite,57,UPS,$0.50 ,"9,000","$4,500 ","$1,575 ",0.35
Costco,1197831,9/2/2022,South,Texas,Houston,Fanta,22,UPS,$0.50 ,"6,250","$3,125 ","$1,406 ",0.45
Costco,1197831,9/2/2022,South,Texas,Houston,Powerade,24,UPS,$0.45 ,"6,250","$2,813 ",$844 ,0.30
Costco,1197831,9/2/2022,South,Texas,Houston,Dasani Water,31,UPS,$0.55 ,"8,500","$4,675 ","$2,338 ",0.50
Costco,1197831,10/1/2022,South,Texas,Houston,Coca-Cola,43,UPS,$0.45 ,"8,000","$3,600 ","$1,260 ",0.35
Costco,1197831,10/1/2022,South,Texas,Houston,Diet Coke,35,UPS,$0.45 ,"8,000","$3,600 ","$1,260 ",0.35
Costco,1197831,10/1/2022,South,Texas,Houston,Sprite,60,UPS,$0.50 ,"7,500","$3,750 ","$1,313 ",0.35
Costco,1197831,10/1/2022,South,Texas,Houston,Fanta,32,UPS,$0.50 ,"6,000","$3,000 ","$1,350 ",0.45
Costco,1197831,10/1/2022,South,Texas,Houston,Powerade,16,UPS,$0.45 ,"5,750","$2,588 ",$776 ,0.30
Costco,1197831,10/1/2022,South,Texas,Houston,Dasani Water,20,UPS,$0.55 ,"7,500","$4,125 ","$2,063 ",0.50
Costco,1197831,11/2/2022,South,Texas,Houston,Coca-Cola,53,UPS,$0.45 ,"9,000","$4,050 ","$1,418 ",0.35
Costco,1197831,11/2/2022,South,Texas,Houston,Diet Coke,40,UPS,$0.45 ,"9,000","$4,050 ","$1,418 ",0.35
Costco,1197831,11/2/2022,South,Texas,Houston,Sprite,35,UPS,$0.50 ,"8,250","$4,125 ","$1,444 ",0.35
Costco,1197831,11/2/2022,South,Texas,Houston,Fanta,30,UPS,$0.50 ,"6,750","$3,375 ","$1,519 ",0.45
Costco,1197831,11/2/2022,South,Texas,Houston,Powerade,15,UPS,$0.45 ,"6,500","$2,925 ",$878 ,0.30
Costco,1197831,11/2/2022,South,Texas,Houston,Dasani Water,24,UPS,$0.55 ,"8,500","$4,675 ","$2,338 ",0.50
Costco,1197831,12/1/2022,South,Texas,Houston,Coca-Cola,22,UPS,$0.45 ,"9,500","$4,275 ","$1,496 ",0.35
Costco,1197831,12/1/2022,South,Texas,Houston,Diet Coke,46,UPS,$0.45 ,"9,500","$4,275 ","$1,496 ",0.35
Costco,1197831,12/1/2022,South,Texas,Houston,Sprite,45,UPS,$0.50 ,"8,500","$4,250 ","$1,488 ",0.35
Costco,1197831,12/1/2022,South,Texas,Houston,Fanta,22,UPS,$0.50 ,"7,000","$3,500 ","$1,575 ",0.45
Costco,1197831,12/1/2022,South,Texas,Houston,Powerade,35,UPS,$0.45 ,"6,500","$2,925 ",$878 ,0.30
Costco,1197831,12/1/2022,South,Texas,Houston,Dasani Water,16,UPS,$0.55 ,"9,000","$4,950 ","$2,475 ",0.50
CVS,1128299,1/20/2022,West,California,San Francisco,Coca-Cola,45,UPS,$0.40 ,"7,750","$3,100 ","$1,085 ",0.35
CVS,1128299,1/20/2022,West,California,San Francisco,Diet Coke,50,UPS,$0.50 ,"7,750","$3,875 ",$775 ,0.20
CVS,1128299,1/20/2022,West,California,San Francisco,Sprite,25,UPS,$0.50 ,"7,750","$3,875 ","$1,356 ",0.35
CVS,1128299,1/20/2022,West,California,San Francisco,Fanta,48,UPS,$0.50 ,"6,250","$3,125 ",$938 ,0.30
CVS,1128299,1/20/2022,West,California,San Francisco,Powerade,57,UPS,$0.55 ,"5,750","$3,163 ","$1,581 ",0.50
CVS,1128299,1/20/2022,West,California,San Francisco,Dasani Water,20,UPS,$0.50 ,"7,750","$3,875 ",$581 ,0.15
CVS,1128299,2/20/2022,West,California,San Francisco,Coca-Cola,26,UPS,$0.40 ,"8,250","$3,300 ","$1,155 ",0.35
CVS,1128299,2/20/2022,West,California,San Francisco,Diet Coke,55,UPS,$0.50 ,"7,250","$3,625 ",$725 ,0.20
CVS,1128299,2/20/2022,West,California,San Francisco,Sprite,59,UPS,$0.50 ,"7,250","$3,625 ","$1,269 ",0.35
CVS,1128299,2/20/2022,West,California,San Francisco,Fanta,60,UPS,$0.50 ,"5,750","$2,875 ",$863 ,0.30
CVS,1128299,2/20/2022,West,California,San Francisco,Powerade,21,UPS,$0.55 ,"5,000","$2,750 ","$1,375 ",0.50
CVS,1128299,2/20/2022,West,California,San Francisco,Dasani Water,39,UPS,$0.50 ,"7,000","$3,500 ",$525 ,0.15
CVS,1128299,3/19/2022,West,California,San Francisco,Coca-Cola,55,UPS,$0.50 ,"8,500","$4,250 ","$1,488 ",0.35
CVS,1128299,3/19/2022,West,California,San Francisco,Diet Coke,38,UPS,$0.60 ,"7,000","$4,200 ",$840 ,0.20
CVS,1128299,3/19/2022,West,California,San Francisco,Sprite,49,UPS,$0.60 ,"7,000","$4,200 ","$1,470 ",0.35
CVS,1128299,3/19/2022,West,California,San Francisco,Fanta,39,UPS,$0.60 ,"6,000","$3,600 ","$1,080 ",0.30
CVS,1128299,3/19/2022,West,California,San Francisco,Powerade,15,UPS,$0.65 ,"5,000","$3,250 ","$1,625 ",0.50
CVS,1128299,3/19/2022,West,California,San Francisco,Dasani Water,26,UPS,$0.60 ,"7,000","$4,200 ",$630 ,0.15
CVS,1128299,4/20/2022,West,California,San Francisco,Coca-Cola,31,UPS,$0.60 ,"8,750","$5,250 ","$1,838 ",0.35
CVS,1128299,4/20/2022,West,California,San Francisco,Diet Coke,18,UPS,$0.65 ,"6,750","$4,388 ",$878 ,0.20
CVS,1128299,4/20/2022,West,California,San Francisco,Sprite,41,UPS,$0.65 ,"7,250","$4,713 ","$1,649 ",0.35
CVS,1128299,4/20/2022,West,California,San Francisco,Fanta,31,UPS,$0.60 ,"6,250","$3,750 ","$1,125 ",0.30
CVS,1128299,4/20/2022,West,California,San Francisco,Powerade,46,UPS,$0.65 ,"5,250","$3,413 ","$1,706 ",0.50
CVS,1128299,4/20/2022,West,California,San Francisco,Dasani Water,36,UPS,$0.80 ,"7,000","$5,600 ",$840 ,0.15
CVS,1128299,5/21/2022,West,California,San Francisco,Coca-Cola,26,UPS,$0.60 ,"9,000","$5,400 ","$2,160 ",0.40
CVS,1128299,5/21/2022,West,California,San Francisco,Diet Coke,15,UPS,$0.65 ,"7,500","$4,875 ","$1,219 ",0.25
CVS,1128299,5/21/2022,West,California,San Francisco,Sprite,39,UPS,$0.65 ,"7,500","$4,875 ","$1,950 ",0.40
CVS,1128299,5/21/2022,West,California,San Francisco,Fanta,32,UPS,$0.60 ,"6,500","$3,900 ","$1,365 ",0.35
CVS,1128299,5/21/2022,West,California,San Francisco,Powerade,55,UPS,$0.65 ,"5,500","$3,575 ","$1,966 ",0.55
CVS,1128299,5/21/2022,West,California,San Francisco,Dasani Water,50,UPS,$0.80 ,"7,250","$5,800 ","$1,160 ",0.20
CVS,1128299,6/20/2022,West,California,San Francisco,Coca-Cola,33,UPS,$0.60 ,"9,750","$5,850 ","$2,340 ",0.40
CVS,1128299,6/20/2022,West,California,San Francisco,Diet Coke,27,UPS,$0.65 ,"8,250","$5,363 ","$1,341 ",0.25
CVS,1128299,6/20/2022,West,California,San Francisco,Sprite,53,UPS,$0.65 ,"8,250","$5,363 ","$2,145 ",0.40
CVS,1128299,6/20/2022,West,California,San Francisco,Fanta,55,UPS,$0.60 ,"7,000","$4,200 ","$1,470 ",0.35
CVS,1128299,6/20/2022,West,California,San Francisco,Powerade,46,UPS,$0.65 ,"5,750","$3,738 ","$2,056 ",0.55
CVS,1128299,6/20/2022,West,California,San Francisco,Dasani Water,35,UPS,$0.80 ,"8,750","$7,000 ","$1,400 ",0.20
CVS,1128299,7/19/2022,West,California,San Francisco,Coca-Cola,26,UPS,$0.60 ,"10,250","$6,150 ","$2,153 ",0.35
CVS,1128299,7/19/2022,West,California,San Francisco,Diet Coke,25,UPS,$0.65 ,"8,750","$5,688 ","$1,138 ",0.20
CVS,1128299,7/19/2022,West,California,San Francisco,Sprite,36,UPS,$0.65 ,"8,250","$5,363 ","$1,877 ",0.35
CVS,1128299,7/19/2022,West,California,San Francisco,Fanta,35,UPS,$0.60 ,"7,250","$4,350 ","$1,305 ",0.30
CVS,1128299,7/19/2022,West,California,San Francisco,Powerade,15,UPS,$0.65 ,"7,750","$5,038 ","$2,519 ",0.50
CVS,1128299,7/19/2022,West,California,San Francisco,Dasani Water,56,UPS,$0.80 ,"7,750","$6,200 ",$930 ,0.15
CVS,1128299,8/20/2022,West,California,San Francisco,Coca-Cola,56,UPS,$0.65 ,"9,750","$6,338 ","$2,218 ",0.35
CVS,1128299,8/20/2022,West,California,San Francisco,Diet Coke,57,UPS,$0.70 ,"9,250","$6,475 ","$1,295 ",0.20
CVS,1128299,8/20/2022,West,California,San Francisco,Sprite,37,UPS,$0.65 ,"8,000","$5,200 ","$1,820 ",0.35
CVS,1128299,8/20/2022,West,California,San Francisco,Fanta,57,UPS,$0.65 ,"7,500","$4,875 ","$1,463 ",0.30
CVS,1128299,8/20/2022,West,California,San Francisco,Powerade,15,UPS,$0.75 ,"7,500","$5,625 ","$2,813 ",0.50
CVS,1128299,8/20/2022,West,California,San Francisco,Dasani Water,38,UPS,$0.80 ,"7,250","$5,800 ",$870 ,0.15
CVS,1128299,9/21/2022,West,California,San Francisco,Coca-Cola,30,UPS,$0.55 ,"9,250","$5,088 ","$1,526 ",0.30
CVS,1128299,9/21/2022,West,California,San Francisco,Diet Coke,58,UPS,$0.60 ,"9,250","$5,550 ",$833 ,0.15
CVS,1128299,9/21/2022,West,California,San Francisco,Sprite,38,UPS,$0.55 ,"7,750","$4,263 ","$1,279 ",0.30
CVS,1128299,9/21/2022,West,California,San Francisco,Fanta,30,UPS,$0.55 ,"7,250","$3,988 ",$997 ,0.25
CVS,1128299,9/21/2022,West,California,San Francisco,Powerade,19,UPS,$0.65 ,"7,250","$4,713 ","$2,121 ",0.45
CVS,1128299,9/21/2022,West,California,San Francisco,Dasani Water,48,UPS,$0.70 ,"7,750","$5,425 ",$543 ,0.10
CVS,1128299,10/20/2022,West,California,San Francisco,Coca-Cola,55,UPS,$0.55 ,"8,750","$4,813 ","$1,444 ",0.30
CVS,1128299,10/20/2022,West,California,San Francisco,Diet Coke,23,UPS,$0.60 ,"8,750","$5,250 ",$788 ,0.15
CVS,1128299,10/20/2022,West,California,San Francisco,Sprite,42,UPS,$0.55 ,"7,000","$3,850 ","$1,155 ",0.30
CVS,1128299,10/20/2022,West,California,San Francisco,Fanta,58,UPS,$0.55 ,"6,750","$3,713 ",$928 ,0.25
CVS,1128299,10/20/2022,West,California,San Francisco,Powerade,35,UPS,$0.65 ,"6,500","$4,225 ","$1,901 ",0.45
CVS,1128299,10/20/2022,West,California,San Francisco,Dasani Water,60,UPS,$0.70 ,"7,000","$4,900 ",$490 ,0.10
